timestamp,event,x,y,button,pressed,dx,dy
2024-05-28 20:18:18.168209,click,125,1065,Button.left,True,,
2024-05-28 20:18:18.262624,click,125,1065,Button.left,False,,
2024-05-28 20:18:18.340778,move,125,1065,,,,
2024-05-28 20:18:19.304593,move,125,1066,,,,
2024-05-28 20:18:19.312637,move,125,1067,,,,
2024-05-28 20:18:19.319782,move,125,1068,,,,
2024-05-28 20:18:19.327541,move,125,1071,,,,
2024-05-28 20:18:19.335978,move,125,1073,,,,
2024-05-28 20:18:19.344006,move,125,1077,,,,
2024-05-28 20:18:19.352140,move,125,1082,,,,
2024-05-28 20:18:19.359069,move,125,1088,,,,
2024-05-28 20:18:19.367492,move,125,1094,,,,
2024-05-28 20:18:19.375140,move,125,1096,,,,
2024-05-28 20:18:19.382959,move,125,1101,,,,
2024-05-28 20:18:19.391031,move,125,1107,,,,
2024-05-28 20:18:19.399169,move,125,1111,,,,
2024-05-28 20:18:19.406853,move,125,1117,,,,
2024-05-28 20:18:19.415414,move,125,1121,,,,
2024-05-28 20:18:19.423692,move,125,1127,,,,
2024-05-28 20:18:19.430692,move,125,1133,,,,
2024-05-28 20:18:19.438999,move,125,1136,,,,
2024-05-28 20:18:19.446579,move,125,1140,,,,
2024-05-28 20:18:19.454133,move,125,1144,,,,
2024-05-28 20:18:19.461212,move,125,1145,,,,
2024-05-28 20:18:19.469941,move,125,1149,,,,
2024-05-28 20:18:19.478004,move,125,1152,,,,
2024-05-28 20:18:19.486337,move,125,1154,,,,
2024-05-28 20:18:19.494148,move,125,1159,,,,
2024-05-28 20:18:19.502438,move,125,1161,,,,
2024-05-28 20:18:19.509817,move,125,1164,,,,
2024-05-28 20:18:19.518134,move,125,1166,,,,
2024-05-28 20:18:19.525081,move,125,1169,,,,
2024-05-28 20:18:19.533711,move,125,1170,,,,
2024-05-28 20:18:19.541574,move,125,1172,,,,
2024-05-28 20:18:19.549697,move,125,1175,,,,
2024-05-28 20:18:19.557077,move,125,1176,,,,
2024-05-28 20:18:19.565231,move,125,1177,,,,
2024-05-28 20:18:19.573824,move,125,1180,,,,
2024-05-28 20:18:19.589145,move,125,1181,,,,
2024-05-28 20:18:19.597417,move,124,1182,,,,
2024-05-28 20:18:19.606607,move,124,1183,,,,
2024-05-28 20:18:19.611665,move,123,1184,,,,
2024-05-28 20:18:19.627858,move,121,1187,,,,
2024-05-28 20:18:19.636653,move,121,1188,,,,
2024-05-28 20:18:19.644504,move,121,1189,,,,
2024-05-28 20:18:19.651935,move,120,1191,,,,
2024-05-28 20:18:19.660637,move,119,1193,,,,
2024-05-28 20:18:19.667777,move,119,1194,,,,
2024-05-28 20:18:19.676433,move,119,1195,,,,
2024-05-28 20:18:19.682846,move,118,1196,,,,
2024-05-28 20:18:19.699393,move,118,1197,,,,
2024-05-28 20:18:19.707105,move,118,1200,,,,
2024-05-28 20:18:19.723803,move,117,1201,,,,
2024-05-28 20:18:19.747027,move,117,1202,,,,
2024-05-28 20:18:19.753783,move,117,1203,,,,
2024-05-28 20:18:19.770286,move,117,1204,,,,
2024-05-28 20:18:19.952655,move,117,1204,,,,
2024-05-28 20:18:19.966972,move,117,1203,,,,
2024-05-28 20:18:19.974821,move,117,1202,,,,
2024-05-28 20:18:19.991348,move,117,1199,,,,
2024-05-28 20:18:19.999001,move,117,1198,,,,
2024-05-28 20:18:20.006958,move,117,1196,,,,
2024-05-28 20:18:20.014877,move,117,1193,,,,
2024-05-28 20:18:20.022876,move,117,1192,,,,
2024-05-28 20:18:20.030126,move,117,1190,,,,
2024-05-28 20:18:20.038605,move,117,1188,,,,
2024-05-28 20:18:20.046022,move,117,1186,,,,
2024-05-28 20:18:20.054443,move,117,1183,,,,
2024-05-28 20:18:20.062444,move,117,1182,,,,
2024-05-28 20:18:20.070014,move,116,1180,,,,
2024-05-28 20:18:20.078467,move,116,1179,,,,
2024-05-28 20:18:20.086050,move,116,1177,,,,
2024-05-28 20:18:20.093578,move,114,1176,,,,
2024-05-28 20:18:20.108864,move,114,1175,,,,
2024-05-28 20:18:20.117069,move,114,1174,,,,
2024-05-28 20:18:20.124729,move,113,1173,,,,
2024-05-28 20:18:20.132864,move,112,1172,,,,
2024-05-28 20:18:20.148704,move,112,1171,,,,
2024-05-28 20:18:20.157095,move,112,1169,,,,
2024-05-28 20:18:20.165054,move,112,1168,,,,
2024-05-28 20:18:20.172566,move,112,1167,,,,
2024-05-28 20:18:20.180614,move,112,1166,,,,
2024-05-28 20:18:20.196284,move,112,1165,,,,
2024-05-28 20:18:20.204080,move,112,1164,,,,
2024-05-28 20:18:20.227888,move,112,1163,,,,
2024-05-28 20:18:20.251343,move,112,1161,,,,
2024-05-28 20:18:20.267402,move,112,1160,,,,
2024-05-28 20:18:20.274771,move,112,1159,,,,
2024-05-28 20:18:20.282909,move,112,1158,,,,
2024-05-28 20:18:20.291067,move,112,1157,,,,
2024-05-28 20:18:20.306927,move,113,1154,,,,
2024-05-28 20:18:20.314025,move,113,1153,,,,
2024-05-28 20:18:20.321942,move,113,1152,,,,
2024-05-28 20:18:20.330527,move,115,1150,,,,
2024-05-28 20:18:20.337823,move,115,1148,,,,
2024-05-28 20:18:20.346162,move,115,1147,,,,
2024-05-28 20:18:20.353696,move,115,1144,,,,
2024-05-28 20:18:20.441287,click,115,1144,Button.left,True,,
2024-05-28 20:18:20.558947,click,115,1144,Button.left,False,,
2024-05-28 20:18:21.049258,click,115,1144,Button.left,True,,
2024-05-28 20:18:21.142877,click,115,1144,Button.left,False,,
2024-05-28 20:18:21.285115,move,115,1144,,,,
2024-05-28 20:18:21.292827,move,115,1146,,,,
2024-05-28 20:18:21.301138,move,115,1150,,,,
2024-05-28 20:18:21.308782,move,115,1156,,,,
2024-05-28 20:18:21.317176,move,115,1169,,,,
2024-05-28 20:18:21.325066,move,115,1179,,,,
2024-05-28 20:18:21.333851,move,118,1188,,,,
2024-05-28 20:18:21.341347,move,120,1195,,,,
2024-05-28 20:18:21.349602,move,121,1199,,,,
2024-05-28 20:18:21.356071,move,121,1203,,,,
2024-05-28 20:18:21.364095,move,121,1208,,,,
2024-05-28 20:18:21.371150,move,121,1210,,,,
2024-05-28 20:18:21.379675,move,123,1215,,,,
2024-05-28 20:18:21.388125,move,123,1219,,,,
2024-05-28 20:18:21.395760,move,123,1223,,,,
2024-05-28 20:18:21.403847,move,124,1227,,,,
2024-05-28 20:18:21.411402,move,124,1233,,,,
2024-05-28 20:18:21.420087,move,124,1238,,,,
2024-05-28 20:18:21.428180,move,126,1244,,,,
2024-05-28 20:18:21.435004,move,126,1246,,,,
2024-05-28 20:18:21.442855,move,127,1253,,,,
2024-05-28 20:18:21.451407,move,129,1255,,,,
2024-05-28 20:18:21.459544,move,129,1258,,,,
2024-05-28 20:18:21.467334,move,130,1262,,,,
2024-05-28 20:18:21.475233,move,132,1267,,,,
2024-05-28 20:18:21.483791,move,132,1269,,,,
2024-05-28 20:18:21.491605,move,133,1272,,,,
2024-05-28 20:18:21.499264,move,133,1276,,,,
2024-05-28 20:18:21.507295,move,134,1279,,,,
2024-05-28 20:18:21.515181,move,136,1280,,,,
2024-05-28 20:18:21.521198,move,136,1283,,,,
2024-05-28 20:18:21.529977,move,137,1285,,,,
2024-05-28 20:18:21.538133,move,138,1288,,,,
2024-05-28 20:18:21.546130,move,138,1291,,,,
2024-05-28 20:18:21.553926,move,140,1295,,,,
2024-05-28 20:18:21.561870,move,141,1298,,,,
2024-05-28 20:18:21.570336,move,141,1299,,,,
2024-05-28 20:18:21.577917,move,141,1301,,,,
2024-05-28 20:18:21.586145,move,141,1302,,,,
2024-05-28 20:18:21.593787,move,141,1305,,,,
2024-05-28 20:18:21.602721,move,141,1307,,,,
2024-05-28 20:18:21.608642,move,143,1312,,,,
2024-05-28 20:18:21.617405,move,144,1314,,,,
2024-05-28 20:18:21.624567,move,144,1316,,,,
